5,,,,,,,,,Plan de Contenido,,,,,,,,,,,,,,,Mayo 2026,,,,,,,,,Escoge fecha,,,,"Wed, May 15",,,.,,,,,,Escoge post,1,.,,,Estatus,,,,,,,,Resumen de Estatus,,
Mayo 2026,,,,,,,,,#,Información general,,Idea,Caption,Texto en Arte,Hashtags,Formatos,,,,Comentarios,,Idea Completa,,,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,,Link,#,Fecha,Proyecto,Estatus,Plataforma,Formato,Idea,Caption,Texto en Arte,Hashtags,Idea Completa,,,,,,,Link,#,Fecha,Estatus,Plataforma,Formato,Idea,,,Estatus,# Posts
FALSE,,,,,,,,,9,Fecha,"Tue, May 19",Lifestyle Check: un sábado en Boulevard ,"Imaginate tu sábado:

☕ Desayuno en el café de la esquina.
🏋️ Gym a 5 minutos caminando.
🛍️ Todo lo que necesitás, a la vuelta.
🍕 Cena en el restaurante que querías probar.
Y llegas a casa sin haberte metido en tráfico.

Eso es vivir en Zona 5.
Eso es Boulevard 5.

🏙️ Apartamentos inteligentes | Zona 5
💰 Cuota desde Q7,500/mes
🔐 Smart home incluido
¿Quieres saber más? Escríbenos y te lo contamos todo. 👇","""Todo lo que necesitás, a la vuelta de la esquina""
Boulevard 5 | Zona 5
Vivir bien, vivir cerca
",,FALSE,,FALSE,,,,"Imaginate tu sábado:☕ Desayuno en el café de la esquina.🏋️ Gym a 5 minutos caminando.🛍️ Todo lo que necesitás, a la vuelta.🍕 Cena en el restaurante que querías probar.Y llegas a casa sin haberte metido en tráfico.Eso es vivir en Zona 5.Eso es Boulevard 5.🏙️ Apartamentos inteligentes | Zona 5💰 Cuota desde Q7,500/mes🔐 Smart home incluido¿Quieres saber más? Escríbenos y te lo contamos todo. 👇",,,,,,,,,,,,,,,,,,,,,,"",,,,,,,Ir,58,"Sun, May 31",Pendiente,Facebook / Instagram,Carrusel,La residencia como obra de arte 🎨,,,,
,,,,,,,,,,Proyecto,Boulevard 5,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,Ir,59,"Sat, May 30",Pendiente,Facebook / Instagram,Post,La decisión que tus hijos van a agradecer 🌿,,,,
FALSE,,,,,,,,,,Plataforma,Facebook / Instagram,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,Ir,60,"Fri, May 1",Pendiente,Facebook / Instagram,Carrusel,Quiénes somos: más que una empresa de apartamentos 🏢,,,,
,,,,,,,,,,Formato,Carrusel,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,Ir,61,"Sun, May 3",Pendiente,Facebook / Instagram,Carrusel,Nuestros proyectos: uno para cada momento de vida 🗺️,,,,
FALSE,,,,,,,,,,Grupo de Hashtag,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,Ir,62,"Mon, May 4",Pendiente,Facebook / Instagram,Post,5 razones para comprar con Puerta Abierta 🏆,,,,
,,,,,,,,,,Separar por:,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,Ir,63,"Wed, May 6",Pendiente,Facebook / Instagram,Post,Contenido educativo: ¿Cómo funciona el proceso de compra? 📋,,,,
FALSE,,,,,,,,,,Estatus,Pendiente,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,Ir,64,"Sat, May 9",Pendiente,Facebook / Instagram,Post,El equipo detrás de cada hogar 👥,,,,
,,,,,,,,,10,Fecha,"Fri, May 22","No me alcanza"" — desmontando la objeción 💬","Quisiera, pero no creo que me alcance...""

Esa frase nos la dicen mucho.
Y la mayoría de veces, los números cuentan una historia diferente.

Un alquiler en Zona 5 puede ser similar o más caro que la cuota de Boulevard 5.
La diferencia: uno construye patrimonio. El otro, no.

💰 Cuota desde Q7,500/mes
📍 Zona 5 | Entrega próxima
🔐 Smart apartment incluido

Antes de descartarlo, hablemos.
Te sorprenderá lo cerca que estás. 👇","""¿Y si ya podés permitírtelo?""
Boulevard 5 | Zona 5
Calculemos juntos
",,FALSE,,FALSE,,,,"Quisiera, pero no creo que me alcance...""Esa frase nos la dicen mucho.Y la mayoría de veces, los números cuentan una historia diferente.Un alquiler en Zona 5 puede ser similar o más caro que la cuota de Boulevard 5.La diferencia: uno construye patrimonio. El otro, no.💰 Cuota desde Q7,500/mes📍 Zona 5 | Entrega próxima🔐 Smart apartment incluidoAntes de descartarlo, hablemos.Te sorprenderá lo cerca que estás. 👇",,,,,,,,,,,,,,,,,,,,,,"",,,,,,,Ir,65,"Sun, May 10",Pendiente,Facebook / Instagram,Post,Mayo: el mes de las madres y los hogares 🌸,,,,
FALSE,,,,,,,,,,Proyecto,Boulevard 5,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,Ir,66,"Wed, May 13",Pendiente,Facebook / Instagram,Carrusel,Insight: ¿Por qué es mejor comprar que alquilar? 💡,,,,
,,,,,,,,,,Plataforma,Facebook / Instagram,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,Ir,67,"Fri, May 15",Pendiente,Facebook / Instagram,Carrusel,Infografía: Guatemala y el sueño de la vivienda propia ,,,,
FALSE,,,,,,,,,,Formato,Carrusel,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,Ir,68,"Tue, May 19",Pendiente,Facebook / Instagram,Carrusel,Preguntale a un asesor: sesión de Q&A 💬,,,,
,,,,,,,,,,Grupo de Hashtag,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,Ir,69,"Fri, May 22",Pendiente,Facebook / Instagram,Carrusel,BTS: cómo se construye un proyecto desde cero 🏗️,,,,
FALSE,,,,,,,,,,Separar por:,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,Ir,70,"Mon, May 25",Pendiente,Facebook / Instagram,Post,Comparativa: ¿Qué proyecto es para mí? 🤔,,,,
,,,,,,,,,,Estatus,Pendiente,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,Ir,71,"Wed, May 27",Pendiente,Facebook / Instagram,Carrusel,Vivienda como inversión: el activo que más guatemaltecos olvidan 📈,,,,
FALSE,,,,,,,,,11,Fecha,"Mon, May 25",Tech feature: así funciona tu cerradura inteligente ,"Llegas de un viaje largo.
Las manos llenas. La llave... ¿dónde está?

En Boulevard 5, eso no existe. 🔐

Tu cerradura inteligente reconoce tu huella o se abre desde tu teléfono.
Sin buscar llaves. Sin estrés.

✅ Cerradura smart en la entrada
✅ Luces automáticas
✅ Enchufes inteligentes
✅ Alexa Echo Dot incluida

🏙️ Boulevard 5 | Zona 5
💰 Cuota desde Q7,500/mes
⏳ Últimas unidades

¿Quieres vivir así? Escríbenos hoy. 👇
","Sin llave. Sin problema.""
Cerradura inteligente · Boulevard 5
Zona 5 | Smart Living
",,FALSE,,FALSE,,,,"Llegas de un viaje largo.Las manos llenas. La llave... ¿dónde está?En Boulevard 5, eso no existe. 🔐Tu cerradura inteligente reconoce tu huella o se abre desde tu teléfono.Sin buscar llaves. Sin estrés.✅ Cerradura smart en la entrada✅ Luces automáticas✅ Enchufes inteligentes✅ Alexa Echo Dot incluida🏙️ Boulevard 5 | Zona 5💰 Cuota desde Q7,500/mes⏳ Últimas unidades¿Quieres vivir así? Escríbenos hoy. 👇",,,,,,,,,,,,,,,,,,,,,,"",,,,,,,Ir,72,"Fri, May 29",Pendiente,Facebook / Instagram,Carrusel,Cierre de mes: ¿En qué proyecto avanzamos este mayo? 🗓️,,,,
,,,,,,,,,,Proyecto,Boulevard 5,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,Plataforma,Facebook / Instagram,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Formato,Post,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,Grupo de Hashtag,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Separar por:,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,Estatus,Pendiente,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,12,Fecha,"Wed, May 27",El costo de esperar: lo que perdés si no decidís hoy ,"En el mercado inmobiliario, el tiempo no es neutral.

Cada mes que esperas puede significar:
📈 Precios más altos
📉 Menos unidades disponibles
😓 Perder la ubicación que querías

En Boulevard 5 ya quedan pocas unidades.
El proyecto está en su etapa final. La decisión que postergas hoy, la pagas mañana.

🏙️ Zona 5 | Smart Apartments
💰 Cuota desde Q7,500/mes
🔐 Tecnología integrada
⏳ Últimas unidades

Hablemos hoy. Sin compromiso. Solo información. 👇","Cada mes que esperás, cuesta más""
Boulevard 5 | Zona 5
El momento de actuar es ahora
",,FALSE,Masajeadores MAX,FALSE,,,,"En el mercado inmobiliario, el tiempo no es neutral.Cada mes que esperas puede significar:📈 Precios más altos📉 Menos unidades disponibles😓 Perder la ubicación que queríasEn Boulevard 5 ya quedan pocas unidades.El proyecto está en su etapa final. La decisión que postergas hoy, la pagas mañana.🏙️ Zona 5 | Smart Apartments💰 Cuota desde Q7,500/mes🔐 Tecnología integrada⏳ Últimas unidadesHablemos hoy. Sin compromiso. Solo información. 👇",,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,Proyecto,Boulevard 5,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Plataforma,Facebook / Instagram,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,Formato,Carrusel,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Grupo de Hashtag,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,Separar por:,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Estatus,Pendiente,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,13,Fecha,"Fri, May 29",Diseño que enamora: tour fotográfico del interior ,"Algunos espacios no necesitan mucha descripción.

Solo necesitan que los veas. 👆

Boulevard 5 es el resultado de diseñar cada detalle con intención:
Luz natural. Espacios eficientes. Tecnología integrada. Zona 5.

🏙️ El apartamento que siempre imaginaste
💰 Cuota desde Q7,500/mes
📍 En pleno corazón de la ciudad

¿Quieres verlo en persona? Coordinamos hoy. 👇
","Diseñado para los que saben lo que quieren""
Boulevard 5 | Zona 5
",,FALSE,,FALSE,,,,"Algunos espacios no necesitan mucha descripción.Solo necesitan que los veas. 👆Boulevard 5 es el resultado de diseñar cada detalle con intención:Luz natural. Espacios eficientes. Tecnología integrada. Zona 5.🏙️ El apartamento que siempre imaginaste💰 Cuota desde Q7,500/mes📍 En pleno corazón de la ciudad¿Quieres verlo en persona? Coordinamos hoy. 👇",,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Proyecto,Boulevard 5,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,Plataforma,Facebook / Instagram,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Formato,Carrusel,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,Grupo de Hashtag,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Separar por:,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Estatus,Pendiente,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,14,Fecha,"Sun, May 31","""5 razones para vivir en Zona 5"" ","5 razones para vivir en Zona 5 (y ninguna es el precio 👇)  1️⃣ Llegas a cualquier punto de la ciudad en minutos
2️⃣ Restaurantes, cafés y entretenimiento a pasos
3️⃣ Cero atascos. Cero estrés de traslado
4️⃣ El metro cuadrado más valioso de la ciudad
5️⃣ Una inversión que siempre sube

Y si a eso le sumas un smart apartment con tecnología integrada...

Eso es Boulevard 5.

🏙️ Zona 5 | Cuota desde Q7,500/mes
⏳ Últimas unidades disponibles

¿Quieres saber cuál queda disponible? 👇
","5 razones por las que Zona 5 lo cambia todo""
Boulevard 5 | Zona 5
",,FALSE,,FALSE,,,,"5 razones para vivir en Zona 5 (y ninguna es el precio 👇)  1️⃣ Llegas a cualquier punto de la ciudad en minutos2️⃣ Restaurantes, cafés y entretenimiento a pasos3️⃣ Cero atascos. Cero estrés de traslado4️⃣ El metro cuadrado más valioso de la ciudad5️⃣ Una inversión que siempre subeY si a eso le sumas un smart apartment con tecnología integrada...Eso es Boulevard 5.🏙️ Zona 5 | Cuota desde Q7,500/mes⏳ Últimas unidades disponibles¿Quieres saber cuál queda disponible? 👇",,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Proyecto,Boulevard 5,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Plataforma,Facebook / Instagram,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Formato,Carrusel,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Grupo de Hashtag,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Separar por:,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Estatus,Pendiente,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,15,Fecha,"Fri, May 1",¿Ya sabes que puedes tener parqueo en un apartamento accesible? 🚗,"¿Sabías que la mayoría de apartamentos accesibles en Guatemala... no incluyen parqueo?

En Benestare, sí. 🚗

Y no es el único diferenciador:

✅ Parqueo incluido (único en el sector)
✅ Amenidades completas
✅ Construcción ya iniciada
✅ Respaldo de FHA, CHN y Mi Primera Casa
✅ Zona 6 — accesible y bien ubicada

💰 Cuota desde Q1,970 al mes

Si estabas comparando opciones, esto cambia la ecuación.
¿Coordinamos una visita? 👇
","""El único con parqueo en la zona""
Benestare | Zona 6
Desde Q1,970/mes
",,FALSE,,FALSE,,,,"¿Sabías que la mayoría de apartamentos accesibles en Guatemala... no incluyen parqueo?En Benestare, sí. 🚗Y no es el único diferenciador:✅ Parqueo incluido (único en el sector)✅ Amenidades completas✅ Construcción ya iniciada✅ Respaldo de FHA, CHN y Mi Primera Casa✅ Zona 6 — accesible y bien ubicada💰 Cuota desde Q1,970 al mesSi estabas comparando opciones, esto cambia la ecuación.¿Coordinamos una visita? 👇",,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Proyecto,Benestare,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Plataforma,Facebook / Instagram,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Formato,Carrusel,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Grupo de Hashtag,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Separar por:,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Estatus,Pendiente,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,16,Fecha,"Sun, May 3",Así avanza la construcción: tu apartamento ya está tomando forma ,"A veces la duda más grande no es el precio.
Es la pregunta silenciosa: ¿en verdad lo van a construir?

En Benestare, la respuesta es visible. 👆

La construcción ya inició y tu apartamento está tomando forma.
Cada foto es una prueba de que esto es real.

🏗️ Construcción en curso
📍 Zona 6 | Accesible y conectada
💰 Cuota desde Q1,970/mes
✅ Respaldo FHA, CHN, Mi Primera Casa
🚗 El único con parqueo en el sector

Invertir en Benestare es invertir en algo que ya existe.
¿Querés verlo con tus propios ojos? 👇
","Ya está en construcción. Ya es real.""
Benestare | Zona 6
Tu apartamento ya existe
",,FALSE,,FALSE,,,,"A veces la duda más grande no es el precio.Es la pregunta silenciosa: ¿en verdad lo van a construir?En Benestare, la respuesta es visible. 👆La construcción ya inició y tu apartamento está tomando forma.Cada foto es una prueba de que esto es real.🏗️ Construcción en curso📍 Zona 6 | Accesible y conectada💰 Cuota desde Q1,970/mes✅ Respaldo FHA, CHN, Mi Primera Casa🚗 El único con parqueo en el sectorInvertir en Benestare es invertir en algo que ya existe.¿Querés verlo con tus propios ojos? 👇",,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Proyecto,Benestare,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Plataforma,Facebook / Instagram,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Formato,Carrusel,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Grupo de Hashtag,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Separar por:,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Estatus,Pendiente,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,17,Fecha,"Mon, May 4",May the Fourth,Que la fuerza y Benestare te acompañen,Que la fuerza y Benestare te acompañen,,FALSE,,FALSE,,,,"Que la fuerza y Benestare te acompañen",,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Proyecto,Benestare,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Plataforma,Facebook / Instagram,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Formato,Post,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Grupo de Hashtag,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Separar por:,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Estatus,Pendiente,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,18,Fecha,"Wed, May 6",Apartamentos de 1 habitación: perfectos para empezar 🛏️,"No necesitás esperar a tenerlo todo resuelto para tener tu propio lugar.

Los apartamentos de 1 habitación en Benestare son para quien está listo para el primer paso:
🛏️ 1 habitación — eficiente y funcional
💰 Cuota desde Q1,970 al mes
✅ Aplicás a Mi Primera Casa
✅ Respaldo FHA y CHN
🚗 Parqueo incluido
📍 Zona 6 | Ya en construcción

Tu independencia empieza con una decisión.
Y hoy puede ser ese día.

¿Cuándo te explicamos todo el proceso? 👇
","Tu primer apartamento no tiene que ser perfecto.
Tiene que ser tuyo.""
Benestare 1 hab | Zona 6 | Q1,970/mes
",,FALSE,,FALSE,,,,"No necesitás esperar a tenerlo todo resuelto para tener tu propio lugar.Los apartamentos de 1 habitación en Benestare son para quien está listo para el primer paso:🛏️ 1 habitación — eficiente y funcional💰 Cuota desde Q1,970 al mes✅ Aplicás a Mi Primera Casa✅ Respaldo FHA y CHN🚗 Parqueo incluido📍 Zona 6 | Ya en construcciónTu independencia empieza con una decisión.Y hoy puede ser ese día.¿Cuándo te explicamos todo el proceso? 👇",,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Proyecto,Benestare,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Plataforma,Facebook / Instagram,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Formato,Post,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Grupo de Hashtag,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Separar por:,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Estatus,Pendiente,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,19,Fecha,"Sat, May 9",¿Qué es Mi Primera Casa y cómo te ayuda? 📋,"Muchas personas no compran porque creen que no van a calificar.
Pero hay un programa diseñado exactamente para tú: Mi Primera Casa. 🏡

¿Qué es?
Un programa de financiamiento que facilita el acceso a vivienda propia con condiciones especiales.

¿Quién puede aplicar?
Guatemaltecos que no tienen vivienda propia y que quieren comprar su primer hogar.

¿Qué necesitás?
Empleo estable, DPI y ganas de dar el paso. 📄

En Benestare:
✅ Aplicás a Mi Primera Casa
✅ También acepta FHA y CHN
💰 Cuota desde Q1,970/mes
📍 Zona 6 | Construcción iniciada

No dejes que el miedo a no calificar te detenga.
Escríbenos y te guiamos en todo el proceso. 👇
","Mi Primera Casa lo hace posible""
Benestare | Zona 6
Te explicamos cómo aplicar
",,FALSE,,FALSE,,,,"Muchas personas no compran porque creen que no van a calificar.Pero hay un programa diseñado exactamente para tú: Mi Primera Casa. 🏡¿Qué es?Un programa de financiamiento que facilita el acceso a vivienda propia con condiciones especiales.¿Quién puede aplicar?Guatemaltecos que no tienen vivienda propia y que quieren comprar su primer hogar.¿Qué necesitás?Empleo estable, DPI y ganas de dar el paso. 📄En Benestare:✅ Aplicás a Mi Primera Casa✅ También acepta FHA y CHN💰 Cuota desde Q1,970/mes📍 Zona 6 | Construcción iniciadaNo dejes que el miedo a no calificar te detenga.Escríbenos y te guiamos en todo el proceso. 👇",,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Proyecto,Benestare,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Plataforma,Facebook / Instagram,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Formato,Post,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Grupo de Hashtag,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Separar por:,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Estatus,Pendiente,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,20,Fecha,"Sun, May 10",Para la mamá que siempre quiso un lugar propio 🌸,"Mamá trabaja. Mamá se esfuerza. Mamá sueña con un lugar propio.

Este Día de la Madre, ese sueño puede empezar a hacerse realidad.

En Benestare, apartamentos desde Q1,970 al mes con respaldo de programas como Mi Primera Casa.

✅ Aplicás a FHA y CHN
✅ Ya inició la construcción
✅ Zona 6 — ubicación estratégica
✅ Parqueo incluido
🌸 Porque mamá merece un hogar, no solo un sueño

¿Le regalamos la información? Escríbenos hoy. 👇
","""Este mayo, hacé realidad lo que siempre soñaste""
Benestare | Zona 6
Desde Q1,970 al mes
",,FALSE,,FALSE,,,,"Mamá trabaja. Mamá se esfuerza. Mamá sueña con un lugar propio.Este Día de la Madre, ese sueño puede empezar a hacerse realidad.En Benestare, apartamentos desde Q1,970 al mes con respaldo de programas como Mi Primera Casa.✅ Aplicás a FHA y CHN✅ Ya inició la construcción✅ Zona 6 — ubicación estratégica✅ Parqueo incluido🌸 Porque mamá merece un hogar, no solo un sueño¿Le regalamos la información? Escríbenos hoy. 👇",,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Proyecto,Benestare,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Plataforma,Facebook / Instagram,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Formato,Post,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Grupo de Hashtag,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Separar por:,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
,,,,,,,,,,Estatus,Pendiente,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,
